Disease,Sym
Hypoglycemia, nausea anxiety headache sweating irritability excessive_hunger drying_and_tingling_lips fatigue palpitations
Osteoarthristis, swelling_joints neck_pain knee_pain
Arthritis, painful_walking movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance unsteadiness vomiting
Acne, skin_rash
Urinary tract infection, foul_smell_ofurine
Psoriasis, skin_rash joint_pain silver_like_dusting
Impetigo, yellow_crust_ooze blister
Fungal infection, itching
Allergy, watering_from_eyes
GERD, acidity ulcers_on_tongue stomach_pain
Chronic cholestasis, yellowing_of_eyes nausea itching loss_of_appetite
Drug Reaction, itching skin_rash
Peptic ulcer diseae, loss_of_appetite internal_itching indigestion
AIDS, high_fever
Diabetes , lethargy polyuria obesity fatigue increased_appetite irregular_sugar_level blurred_and_distorted_vision
Gastroenteritis, sunken_eyes
Bronchial Asthma, breathlessness mucoid_sputum cough
Hypertension , chest_pain dizziness
Migraine, depression blurred_and_distorted_vision acidity indigestion stiff_neck visual_disturbances
Cervical spondylosis, dizziness back_pain
Paralysis (brain hemorrhage), headache
Jaundice, weight_loss abdominal_pain fatigue dark_urine high_fever
Malaria, chills headache diarrhoea muscle_pain high_fever
Chicken pox, fatigue mild_fever malaise swelled_lymph_nodes high_fever skin_rash loss_of_appetite lethargy
Dengue, loss_of_appetite skin_rash chills vomiting headache pain_behind_the_eyes malaise high_fever red_spots_over_body muscle_pain joint_pain
Typhoid, nausea fatigue constipation vomiting high_fever diarrhoea belly_pain toxic_look_(typhos)
hepatitis A, loss_of_appetite abdominal_pain vomiting joint_pain yellowing_of_eyes mild_fever diarrhoea dark_urine
Hepatitis B, yellowish_skin abdominal_pain fatigue receiving_blood_transfusion malaise dark_urine yellowing_of_eyes lethargy yellow_urine
Hepatitis C, nausea yellowish_skin yellowing_of_eyes
Hepatitis D, fatigue dark_urine nausea yellowing_of_eyes loss_of_appetite vomiting
Hepatitis E, nausea loss_of_appetite joint_pain fatigue abdominal_pain dark_urine coma stomach_bleeding yellowish_skin vomiting
Alcoholic hepatitis, yellowish_skin distention_of_abdomen history_of_alcohol_consumption swelling_of_stomach
Tuberculosis, chills cough yellowing_of_eyes high_fever fatigue mild_fever blood_in_sputum sweating swelled_lymph_nodes phlegm loss_of_appetite malaise chest_pain
Common Cold, muscle_pain headache sinus_pressure cough congestion redness_of_eyes swelled_lymph_nodes runny_nose phlegm chills loss_of_smell high_fever malaise throat_irritation
Pneumonia, fatigue phlegm chills cough rusty_sputum sweating malaise fast_heart_rate
Dimorphic hemmorhoids(piles), constipation pain_in_anal_region
Heart attack, vomiting
Varicose veins, obesity cramps prominent_veins_on_calf bruising
Hypothyroidism, brittle_nails cold_hands_and_feets depression fatigue irritability mood_swings puffy_face_and_eyes abnormal_menstruation weight_gain enlarged_thyroid
Hyperthyroidism, sweating weight_loss mood_swings diarrhoea irritability fatigue excessive_hunger muscle_weakness
Hypoglycemia, slurred_speech sweating headache drying_and_tingling_lips irritability blurred_and_distorted_vision vomiting excessive_hunger fatigue
Osteoarthristis, hip_joint_pain swelling_joints knee_pain
Arthritis, stiff_neck movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, unsteadiness vomiting spinning_movements
Acne, skin_rash
Urinary tract infection, foul_smell_ofurine
Psoriasis, silver_like_dusting skin_rash joint_pain
Impetigo, red_sore_around_nose yellow_crust_ooze
Fungal infection, skin_rash
Allergy, watering_from_eyes
GERD, cough ulcers_on_tongue vomiting
Chronic cholestasis, abdominal_pain yellowish_skin vomiting yellowing_of_eyes
Drug Reaction, stomach_pain itching
Peptic ulcer diseae, abdominal_pain indigestion internal_itching
AIDS, extra_marital_contacts
Diabetes , blurred_and_distorted_vision fatigue weight_loss irregular_sugar_level restlessness obesity lethargy
Gastroenteritis, sunken_eyes
Bronchial Asthma, cough high_fever fatigue
Hypertension , loss_of_balance chest_pain
Migraine, irritability headache blurred_and_distorted_vision visual_disturbances acidity indigestion
Cervical spondylosis, neck_pain dizziness
Paralysis (brain hemorrhage), vomiting
Jaundice, vomiting abdominal_pain fatigue high_fever weight_loss
Malaria, chills high_fever headache nausea diarrhoea
Chicken pox, itching malaise swelled_lymph_nodes loss_of_appetite skin_rash lethargy mild_fever red_spots_over_body
Dengue, malaise chills high_fever skin_rash muscle_pain loss_of_appetite pain_behind_the_eyes nausea headache joint_pain fatigue
Typhoid, belly_pain constipation high_fever toxic_look_(typhos) headache chills fatigue abdominal_pain
hepatitis A, dark_urine vomiting nausea joint_pain yellowish_skin mild_fever loss_of_appetite diarrhoea
Hepatitis B, dark_urine yellowing_of_eyes receiving_blood_transfusion loss_of_appetite fatigue abdominal_pain malaise itching lethargy
Hepatitis C, nausea yellowing_of_eyes loss_of_appetite
Hepatitis D, fatigue dark_urine yellowish_skin vomiting loss_of_appetite nausea
Hepatitis E, stomach_bleeding fatigue dark_urine loss_of_appetite acute_liver_failure abdominal_pain nausea yellowing_of_eyes yellowish_skin vomiting
Alcoholic hepatitis, abdominal_pain distention_of_abdomen yellowish_skin vomiting
Tuberculosis, breathlessness vomiting cough chest_pain fatigue high_fever malaise chills yellowing_of_eyes weight_loss blood_in_sputum phlegm loss_of_appetite
Common Cold, headache cough chills phlegm fatigue malaise redness_of_eyes loss_of_smell congestion sinus_pressure throat_irritation runny_nose swelled_lymph_nodes continuous_sneezing
Pneumonia, fast_heart_rate cough chills phlegm sweating malaise fatigue breathlessness
Dimorphic hemmorhoids(piles), pain_in_anal_region bloody_stool
Heart attack, sweating
Varicose veins, cramps obesity prominent_veins_on_calf fatigue
Hypothyroidism, puffy_face_and_eyes enlarged_thyroid abnormal_menstruation mood_swings cold_hands_and_feets lethargy fatigue swollen_extremeties brittle_nails depression
Hyperthyroidism, diarrhoea fatigue abnormal_menstruation irritability mood_swings weight_loss fast_heart_rate restlessness
Hypoglycemia, blurred_and_distorted_vision drying_and_tingling_lips fatigue palpitations sweating irritability anxiety nausea excessive_hunger
Osteoarthristis, hip_joint_pain neck_pain knee_pain
Arthritis, muscle_weakness swelling_joints
(vertigo) Paroymsal  Positional Vertigo, vomiting spinning_movements nausea
Acne, scurring
Urinary tract infection, burning_micturition
Psoriasis, inflammatory_nails skin_rash silver_like_dusting
Impetigo, skin_rash blister
Fungal infection, dischromic_patches
Allergy, watering_from_eyes
GERD, acidity ulcers_on_tongue vomiting
Chronic cholestasis, abdominal_pain yellowing_of_eyes itching vomiting
Drug Reaction, burning_micturition skin_rash
Peptic ulcer diseae, loss_of_appetite indigestion abdominal_pain
AIDS, patches_in_throat
Diabetes , fatigue increased_appetite polyuria weight_loss irregular_sugar_level excessive_hunger blurred_and_distorted_vision
Gastroenteritis, sunken_eyes
Bronchial Asthma, high_fever cough family_history
Hypertension , headache chest_pain
Migraine, stiff_neck irritability blurred_and_distorted_vision visual_disturbances acidity excessive_hunger
Cervical spondylosis, neck_pain back_pain
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, abdominal_pain dark_urine itching high_fever yellowish_skin
Malaria, diarrhoea vomiting chills nausea muscle_pain
Chicken pox, malaise itching swelled_lymph_nodes skin_rash mild_fever loss_of_appetite high_fever lethargy
Dengue, red_spots_over_body malaise headache skin_rash loss_of_appetite fatigue pain_behind_the_eyes chills back_pain nausea muscle_pain
Typhoid, abdominal_pain diarrhoea fatigue high_fever chills constipation belly_pain nausea
hepatitis A, diarrhoea yellowing_of_eyes dark_urine abdominal_pain mild_fever joint_pain loss_of_appetite yellowish_skin
Hepatitis B, malaise fatigue itching receiving_blood_transfusion dark_urine yellowish_skin yellowing_of_eyes yellow_urine loss_of_appetite
Hepatitis C, yellowing_of_eyes family_history nausea
Hepatitis D, joint_pain loss_of_appetite vomiting nausea abdominal_pain dark_urine
Hepatitis E, stomach_bleeding dark_urine abdominal_pain acute_liver_failure high_fever loss_of_appetite joint_pain vomiting coma yellowing_of_eyes
Alcoholic hepatitis, fluid_overload yellowish_skin swelling_of_stomach vomiting
Tuberculosis, high_fever sweating swelled_lymph_nodes loss_of_appetite weight_loss phlegm cough chills mild_fever breathlessness blood_in_sputum chest_pain yellowing_of_eyes
Common Cold, high_fever congestion continuous_sneezing chest_pain swelled_lymph_nodes headache cough fatigue loss_of_smell chills malaise sinus_pressure redness_of_eyes muscle_pain
Pneumonia, high_fever chest_pain fast_heart_rate rusty_sputum breathlessness chills fatigue phlegm
Dimorphic hemmorhoids(piles), pain_during_bowel_movements irritation_in_anus
Heart attack, vomiting
Varicose veins, swollen_blood_vessels obesity prominent_veins_on_calf bruising
Hypothyroidism, depression mood_swings puffy_face_and_eyes dizziness irritability enlarged_thyroid fatigue cold_hands_and_feets swollen_extremeties lethargy
Hyperthyroidism, abnormal_menstruation excessive_hunger mood_swings fast_heart_rate diarrhoea fatigue sweating irritability
Hypoglycemia, excessive_hunger vomiting nausea sweating drying_and_tingling_lips headache irritability anxiety fatigue
Osteoarthristis, painful_walking knee_pain hip_joint_pain
Arthritis, muscle_weakness painful_walking
(vertigo) Paroymsal  Positional Vertigo, vomiting unsteadiness headache
Acne, blackheads
Urinary tract infection, foul_smell_ofurine
Psoriasis, joint_pain silver_like_dusting skin_peeling
Impetigo, high_fever blister
Fungal infection, skin_rash
Allergy, watering_from_eyes
GERD, chest_pain stomach_pain cough
Chronic cholestasis, loss_of_appetite abdominal_pain nausea itching
Drug Reaction, skin_rash spotting_urination
Peptic ulcer diseae, loss_of_appetite passage_of_gases abdominal_pain
AIDS, extra_marital_contacts
Diabetes , blurred_and_distorted_vision obesity excessive_hunger lethargy increased_appetite weight_loss polyuria
Gastroenteritis, sunken_eyes
Bronchial Asthma, breathlessness high_fever family_history
Hypertension , loss_of_balance chest_pain
Migraine, irritability indigestion stiff_neck blurred_and_distorted_vision excessive_hunger visual_disturbances
Cervical spondylosis, weakness_in_limbs dizziness
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, dark_urine weight_loss abdominal_pain fatigue yellowish_skin
Malaria, headache sweating vomiting high_fever diarrhoea
Chicken pox, swelled_lymph_nodes mild_fever fatigue high_fever itching red_spots_over_body headache lethargy
Dengue, red_spots_over_body fatigue high_fever headache malaise vomiting joint_pain chills muscle_pain nausea pain_behind_the_eyes
Typhoid, abdominal_pain diarrhoea belly_pain constipation vomiting nausea chills high_fever
hepatitis A, joint_pain diarrhoea vomiting mild_fever muscle_pain nausea loss_of_appetite yellowing_of_eyes
Hepatitis B, yellowish_skin receiving_blood_transfusion lethargy malaise receiving_unsterile_injections itching dark_urine yellow_urine fatigue
Hepatitis C, nausea yellowish_skin fatigue
Hepatitis D, dark_urine nausea yellowish_skin joint_pain vomiting yellowing_of_eyes
Hepatitis E, dark_urine fatigue yellowish_skin abdominal_pain nausea loss_of_appetite stomach_bleeding vomiting high_fever acute_liver_failure
Alcoholic hepatitis, abdominal_pain fluid_overload vomiting distention_of_abdomen
Tuberculosis, fatigue swelled_lymph_nodes loss_of_appetite vomiting weight_loss malaise blood_in_sputum mild_fever phlegm breathlessness chest_pain cough chills
Common Cold, cough high_fever chest_pain malaise congestion headache sinus_pressure runny_nose fatigue swelled_lymph_nodes redness_of_eyes muscle_pain throat_irritation phlegm
Pneumonia, high_fever chills phlegm fast_heart_rate breathlessness rusty_sputum fatigue malaise
Dimorphic hemmorhoids(piles), bloody_stool irritation_in_anus
Heart attack, vomiting
Varicose veins, cramps swollen_blood_vessels fatigue prominent_veins_on_calf
Hypothyroidism, brittle_nails depression weight_gain dizziness swollen_extremeties puffy_face_and_eyes abnormal_menstruation cold_hands_and_feets enlarged_thyroid fatigue
Hyperthyroidism, abnormal_menstruation fatigue sweating muscle_weakness weight_loss restlessness fast_heart_rate excessive_hunger
Hypoglycemia, headache slurred_speech irritability sweating vomiting nausea palpitations drying_and_tingling_lips fatigue
Osteoarthristis, swelling_joints hip_joint_pain joint_pain
Arthritis, painful_walking muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, unsteadiness nausea vomiting
Acne, scurring
Urinary tract infection, burning_micturition
Psoriasis, skin_peeling skin_rash silver_like_dusting
Impetigo, blister red_sore_around_nose
Fungal infection, skin_rash
Allergy, chills
GERD, cough chest_pain ulcers_on_tongue
Chronic cholestasis, loss_of_appetite itching nausea vomiting
Drug Reaction, spotting_urination itching
Peptic ulcer diseae, vomiting passage_of_gases abdominal_pain
AIDS, extra_marital_contacts
Diabetes , increased_appetite polyuria lethargy obesity fatigue excessive_hunger irregular_sugar_level
Gastroenteritis, diarrhoea
Bronchial Asthma, mucoid_sputum breathlessness fatigue
Hypertension , loss_of_balance headache
Migraine, irritability excessive_hunger headache acidity indigestion visual_disturbances
Cervical spondylosis, back_pain loss_of_balance
Paralysis (brain hemorrhage), altered_sensorium
Jaundice, dark_urine fatigue vomiting high_fever weight_loss
Malaria, muscle_pain chills diarrhoea headache nausea
Chicken pox, loss_of_appetite red_spots_over_body high_fever fatigue skin_rash swelled_lymph_nodes headache mild_fever
Dengue, fatigue loss_of_appetite nausea pain_behind_the_eyes back_pain joint_pain malaise chills headache high_fever muscle_pain
Typhoid, chills nausea abdominal_pain diarrhoea constipation high_fever toxic_look_(typhos) belly_pain
hepatitis A, yellowish_skin mild_fever abdominal_pain loss_of_appetite muscle_pain dark_urine vomiting joint_pain
Hepatitis B, itching yellowish_skin yellow_urine receiving_unsterile_injections loss_of_appetite yellowing_of_eyes dark_urine lethargy receiving_blood_transfusion
Hepatitis C, nausea yellowish_skin fatigue
Hepatitis D, fatigue yellowish_skin nausea joint_pain dark_urine abdominal_pain
Hepatitis E, coma loss_of_appetite joint_pain vomiting fatigue nausea high_fever abdominal_pain stomach_bleeding dark_urine
Alcoholic hepatitis, distention_of_abdomen fluid_overload vomiting history_of_alcohol_consumption
Tuberculosis, cough fatigue phlegm high_fever breathlessness sweating mild_fever malaise weight_loss loss_of_appetite vomiting chills chest_pain
Common Cold, malaise congestion swelled_lymph_nodes fatigue sinus_pressure loss_of_smell runny_nose chest_pain throat_irritation continuous_sneezing chills headache high_fever cough
Pneumonia, chest_pain sweating rusty_sputum malaise breathlessness phlegm fast_heart_rate cough
Dimorphic hemmorhoids(piles), pain_in_anal_region bloody_stool
Heart attack, chest_pain
Varicose veins, swollen_legs prominent_veins_on_calf cramps obesity
Hypothyroidism, irritability brittle_nails cold_hands_and_feets weight_gain dizziness enlarged_thyroid swollen_extremeties depression mood_swings fatigue
Hyperthyroidism, fast_heart_rate sweating abnormal_menstruation restlessness mood_swings weight_loss muscle_weakness diarrhoea
Hypoglycemia, palpitations blurred_and_distorted_vision sweating fatigue headache nausea vomiting slurred_speech excessive_hunger
Osteoarthristis, painful_walking neck_pain hip_joint_pain
Arthritis, muscle_weakness painful_walking
(vertigo) Paroymsal  Positional Vertigo, spinning_movements headache vomiting
Acne, skin_rash
Urinary tract infection, continuous_feel_of_urine
Psoriasis, small_dents_in_nails skin_peeling silver_like_dusting
Impetigo, high_fever red_sore_around_nose
Fungal infection, skin_rash
Allergy, continuous_sneezing
GERD, ulcers_on_tongue acidity stomach_pain
Chronic cholestasis, abdominal_pain vomiting yellowish_skin loss_of_appetite
Drug Reaction, itching stomach_pain
Peptic ulcer diseae, abdominal_pain indigestion vomiting
AIDS, muscle_wasting
Diabetes , weight_loss restlessness fatigue increased_appetite polyuria blurred_and_distorted_vision obesity
Gastroenteritis, sunken_eyes
Bronchial Asthma, high_fever fatigue family_history
Hypertension , headache loss_of_balance
Migraine, visual_disturbances headache blurred_and_distorted_vision indigestion acidity depression
Cervical spondylosis, neck_pain loss_of_balance
Paralysis (brain hemorrhage), altered_sensorium
Jaundice, itching vomiting abdominal_pain dark_urine yellowish_skin
Malaria, nausea diarrhoea muscle_pain headache vomiting
Chicken pox, mild_fever itching headache swelled_lymph_nodes lethargy high_fever loss_of_appetite malaise
